carbons,temperature,pressure,density,density_error,diff,diff_error,ee,ee_error,rg,rg_error
200,373,1,824.108,0.08,0.0609,0.0114,6.7969,0.2604,2.6653,0.0490
200,573,1,711.014,0.14,0.2184,0.0074,5.9733,0.0681,2.3754,0.0186
200,473,1,766.86,0.072,0.1449,0.0,6.2808,0.0857,2.4902,0.0230
60,373,1,822.073,0.2,0.1822,0.0227,3.5610,0.0541,1.3381,0.0063
60,573,1,695.954,0.23,1.4905,0.1927,3.2443,0.0325,1.2374,0.0021
60,473,1,759.705,0.22,0.7922,0.0671,3.3773,0.0139,1.2755,0.0030
128,373,1,823.779,0.07,0.1101,0.001,5.3483,0.1119,2.0791,0.0226
128,573,1,707.134,0.31,0.4972,0.1203,4.7490,0.0884,1.8747,0.0159
128,473,1,764.944,0.081,0.227,0.0085,4.9597,0.0611,1.9411,0.0198
120,373,1,823.624,0.051,0.1179,0.0035,5.1910,0.0322,2.0111,0.0091
120,573,1,706.585,0.17,0.5433,0.0794,4.6509,0.0329,1.8170,0.0093
120,473,1,764.669,0.17,0.3332,0.0545,4.8313,0.0365,1.8812,0.0084
148,373,1,824.267,0.12,0.0789,0.0093,5.8249,0.1592,2.2621,0.0247
148,573,1,708.214,0.21,0.3955,0.0573,5.0925,0.0723,2.0094,0.0310
148,473,1,765.855,0.17,0.1927,0.0337,5.3847,0.0373,2.1208,0.0190
140,373,1,824.271,0.064,0.082,0.0101,5.6227,0.1204,2.1845,0.0206
140,573,1,707.783,0.13,0.4954,0.0438,4.9905,0.0709,1.9686,0.0185
140,473,1,765.733,0.17,0.2384,0.0251,5.3026,0.1461,2.0786,0.0526
68,373,1,822.398,0.15,0.1965,0.013,3.8329,0.0395,1.4429,0.0115
68,573,1,698.058,0.19,1.1476,0.188,3.4888,0.0273,1.3257,0.0070
68,473,1,760.725,0.17,0.6032,0.0128,3.6229,0.0291,1.3756,0.0081
88,373,1,823.388,0.17,0.1397,0.005,4.3799,0.0338,1.6776,0.0130
88,573,1,702.227,0.23,0.9192,0.0727,3.9426,0.0272,1.5270,0.0074
88,473,1,762.978,0.15,0.4144,0.0413,4.1415,0.0663,1.5949,0.0192
208,373,1,824.44,0.14,0.064,0.0015,6.8552,0.1853,2.7194,0.0642
208,573,1,711.102,0.093,0.2248,0.0029,6.1248,0.0622,2.4386,0.0164
208,473,1,767.534,0.14,0.1239,0.009,6.4387,0.0624,2.5420,0.0152
160,373,1,824.207,0.17,0.0755,0.0054,5.8828,0.1292,2.3214,0.0281
160,573,1,708.946,0.12,0.3386,0.0224,5.3007,0.1382,2.1059,0.0318
160,473,1,766.281,0.14,0.184,0.0299,5.5366,0.0366,2.1913,0.0137
108,373,1,823.576,0.13,0.1307,0.0015,4.8550,0.0344,1.8802,0.0132
108,573,1,704.853,0.11,0.6492,0.0212,4.4007,0.0434,1.7202,0.0181
108,473,1,764.161,0.17,0.5192,0.0062,4.5288,0.1045,1.7729,0.0142
100,373,1,823.157,0.1,0.1255,0.0051,4.6959,0.0996,1.8073,0.0262
100,573,1,703.793,0.13,0.8683,0.144,4.1677,0.0938,1.6292,0.0225
100,473,1,763.552,0.19,0.3615,0.0167,4.4234,0.0465,1.7076,0.0086
80,373,1,823.027,0.2,0.1683,0.0138,4.1777,0.0331,1.5894,0.0074
80,573,1,700.832,0.12,1.0749,0.0151,3.7901,0.0450,1.4575,0.0115
80,473,1,761.594,0.21,0.5134,0.0614,3.9263,0.0196,1.5051,0.0057
28,373,1,820.576,0.12,0.3594,0.076,2.4012,0.0158,0.8572,0.0035
28,573,1,676.232,0.27,3.39,0.0193,2.1932,0.0452,0.8054,0.0066
28,473,1,749.952,0.09,1.4639,0.0051,2.2740,0.0215,0.8260,0.0030
48,373,1,821.955,0.11,0.2091,0.0042,3.2092,0.0364,1.1806,0.0085
48,573,1,691.32,0.34,1.5529,0.1091,2.9017,0.0105,1.0922,0.0017
48,473,1,757.165,0.2,0.953,0.0626,3.0110,0.0125,1.1240,0.0025
40,373,1,821.635,0.18,0.259,0.0171,2.9063,0.0393,1.0560,0.0034
40,573,1,686.753,0.25,2.2579,0.0532,2.6605,0.0295,0.9903,0.0118
40,473,1,755.167,0.33,1.2178,0.0483,2.7665,0.0440,1.0189,0.0116
168,373,1,824.088,0.069,0.0656,0.0014,6.1311,0.0726,2.4098,0.0203
168,573,1,709.532,0.16,0.4894,0.0218,5.5474,0.1180,2.1847,0.0241
168,473,1,766.568,0.13,0.1592,0.0142,5.7545,0.0580,2.2712,0.0206
188,373,1,824.118,0.062,0.0682,0.0035,6.4224,0.1927,2.5494,0.0379
188,573,1,710.098,0.17,0.2849,0.0487,5.7867,0.0682,2.3081,0.0090
188,473,1,766.888,0.073,0.1421,0.0059,6.0954,0.0339,2.4121,0.0112
180,373,1,824.142,0.095,0.0563,0.0011,6.4246,0.2153,2.5156,0.0625
180,573,1,709.678,0.2,0.2758,0.0305,5.6422,0.0716,2.2452,0.0202
180,473,1,766.93,0.11,0.1628,0.0039,5.9767,0.1268,2.3573,0.0350
