carbons,temperature,pressure,density,density_error,diff,diff_error,ee,ee_error,rg,rg_error
108,373,1,829.67,0.066,0.1362,0.0029,4.7392,0.0705,1.8173,0.0101
108,573,1,712.244,0.077,0.6383,0.0538,4.3341,0.0581,1.6733,0.0048
108,473,1,770.923,0.044,0.3563,0.0206,4.4676,0.0415,1.7202,0.0153
80,373,1,830.753,0.098,0.1688,0.0416,3.9989,0.0484,1.5081,0.0105
80,573,1,710.395,0.18,1.0338,0.0673,3.6993,0.0157,1.4131,0.0041
80,473,1,770.669,0.15,0.5335,0.0087,3.8172,0.0426,1.4542,0.0193
160,373,1,828.198,0.09,0.0762,0.0005,5.8109,0.0707,2.2641,0.0208
160,573,1,713.756,0.22,0.3262,0.0272,5.2851,0.0385,2.0822,0.0120
160,473,1,771.042,0.067,0.2542,0.0207,5.4663,0.0268,2.1472,0.0056
40,373,1,835.332,0.082,0.4497,0.0211,2.7001,0.0280,0.9782,0.0041
40,573,1,704.317,0.24,2.3262,0.2568,2.5071,0.0336,0.9293,0.0042
40,473,1,770.856,0.18,0.9295,0.0923,2.6064,0.0517,0.9511,0.0066
168,373,1,828.272,0.18,0.0799,0.0124,6.0433,0.1560,2.3460,0.0337
168,573,1,714.234,0.14,0.3554,0.0055,5.3405,0.0978,2.1256,0.0041
168,473,1,771.164,0.19,0.1304,0.0391,5.6178,0.0609,2.2072,0.0136
120,373,1,828.892,0.16,0.1204,0.0202,5.0087,0.0656,1.9335,0.0266
120,573,1,713.07,0.27,0.495,0.0216,4.6074,0.0977,1.7827,0.0141
120,473,1,770.799,0.19,0.2803,0.0072,4.7196,0.0423,1.8362,0.0097
28,373,1,839.177,0.083,0.5614,0.0338,2.1688,0.0105,0.7773,0.0020
28,573,1,699.254,0.2,2.7302,0.174,2.0680,0.0032,0.7521,0.0015
28,473,1,770.591,0.24,1.358,0.1281,2.1048,0.0109,0.7605,0.0026
128,373,1,828.713,0.12,0.1046,0.0094,5.2400,0.0500,2.0151,0.0115
128,573,1,713.194,0.14,0.4093,0.0306,4.6954,0.0229,1.8333,0.0099
128,473,1,770.939,0.15,0.2934,0.0062,4.9092,0.0396,1.9013,0.0144
48,373,1,833.821,0.095,0.3411,0.0349,2.9808,0.0094,1.0966,0.0069
48,573,1,706.546,0.16,2.0079,0.0776,2.7875,0.0121,1.0396,0.0013
48,473,1,770.957,0.21,1.0523,0.0978,2.8914,0.0302,1.0664,0.0050
68,373,1,831.621,0.094,0.2411,0.0338,3.6778,0.0498,1.3692,0.0107
68,573,1,709.266,0.12,1.2003,0.0598,3.3522,0.0727,1.2759,0.0139
68,473,1,770.74,0.25,0.606,0.1333,3.4599,0.0436,1.3082,0.0102
88,373,1,830.327,0.18,0.1734,0.0081,4.2472,0.0845,1.6031,0.0121
88,573,1,710.653,0.17,0.7757,0.0594,3.8668,0.0255,1.4874,0.0060
88,473,1,770.913,0.23,0.3951,0.0571,4.0245,0.0248,1.5346,0.0059
60,373,1,832.317,0.14,0.3227,0.0395,3.4303,0.0530,1.2726,0.0193
60,573,1,708.04,0.27,1.3453,0.2149,3.1375,0.0512,1.1880,0.0056
60,473,1,771.12,0.17,0.6227,0.0387,3.2315,0.0433,1.2154,0.0064
200,373,1,828.009,0.12,0.0568,0.0083,6.5898,0.0699,2.5887,0.0225
200,573,1,714.766,0.2,0.2199,0.0476,5.9127,0.0368,2.3457,0.0073
200,473,1,771.087,0.1,0.1402,0.0017,6.2398,0.1435,2.4516,0.0349
180,373,1,827.753,0.099,0.0755,0.0055,6.2926,0.1666,2.4457,0.0237
180,573,1,713.841,0.18,0.2789,0.0465,5.6793,0.0617,2.2394,0.0203
180,473,1,771.063,0.19,0.1254,0.0154,5.7641,0.1572,2.2874,0.0360
188,373,1,827.945,0.087,0.0685,0.0081,6.4121,0.0933,2.5024,0.0284
188,573,1,714.377,0.13,0.2363,0.0322,5.7092,0.0953,2.2624,0.0312
188,473,1,771.016,0.16,0.1334,0.0136,6.0199,0.2168,2.3650,0.0481
140,373,1,828.74,0.13,0.1052,0.009,5.4310,0.0914,2.1167,0.0291
140,573,1,713.525,0.18,0.5012,0.0162,4.9816,0.0773,1.9486,0.0288
140,473,1,770.838,0.12,0.2641,0.0285,5.1339,0.0626,2.0088,0.0125
148,373,1,828.528,0.2,0.1036,0.0049,5.6816,0.0838,2.1938,0.0120
148,573,1,713.306,0.15,0.3347,0.0369,5.1070,0.0891,2.0038,0.0264
148,473,1,771.038,0.17,0.2218,0.0374,5.2697,0.0598,2.0664,0.0157
100,373,1,829.813,0.099,0.1189,0.0024,4.5240,0.0486,1.7261,0.0128
100,573,1,712.231,0.33,0.7167,0.0711,4.1384,0.0243,1.5986,0.0086
100,473,1,770.999,0.19,0.3928,0.038,4.2935,0.0274,1.6528,0.0071
208,373,1,827.149,0.12,0.0583,0.0139,6.6388,0.1575,2.6325,0.0342
208,573,1,715.045,0.042,0.3058,0.0041,6.1453,0.1572,2.4217,0.0282
208,473,1,770.817,0.12,0.1015,0.0124,6.3118,0.1043,2.4864,0.0162
