carbons,temperature,pressure,density,density_error,diff,diff_error,ee,ee_error,rg,rg_error
108,373,1,865.969,0.068,0.0816,0.0055,5.0264,0.1092,1.9291,0.0319
108,573,1,743.83,0.13,0.4395,0.0079,4.6588,0.0718,1.7909,0.0067
108,473,1,805.497,0.14,0.2532,0.0138,4.8307,0.0459,1.8552,0.0098
40,373,1,911.986,0.11,0.2199,0.0047,3.2007,0.0189,1.1663,0.0047
40,573,1,772.209,0.1,1.3277,0.0235,3.0247,0.0173,1.1187,0.0039
40,473,1,842.684,0.1,0.6888,0.0467,3.0990,0.0210,1.1375,0.0027
180,373,1,851.834,0.075,0.0499,0.0076,6.5216,0.1698,2.5470,0.0526
180,573,1,734.717,0.13,0.1971,0.0284,5.9372,0.0629,2.3312,0.0102
180,473,1,792.893,0.12,0.1318,0.0044,6.1154,0.1512,2.4109,0.0344
168,373,1,853.224,0.16,0.0612,0.0138,6.3089,0.1223,2.4550,0.0369
168,573,1,735.778,0.17,0.2654,0.0138,5.6101,0.1792,2.2227,0.0351
168,473,1,794.4,0.19,0.1113,0.008,5.9045,0.0292,2.3187,0.0127
188,373,1,850.562,0.18,0.0495,0.0107,6.6429,0.0903,2.6180,0.0361
188,573,1,734.086,0.14,0.2198,0.0198,5.8627,0.1984,2.3376,0.0435
188,473,1,792.093,0.075,0.1065,0.0042,6.2683,0.1582,2.4721,0.0485
60,373,1,890.694,0.088,0.1758,0.0056,3.8731,0.0110,1.4312,0.0061
60,573,1,759.069,0.038,0.8877,0.0609,3.5603,0.0071,1.3456,0.0020
60,473,1,825.012,0.12,0.4908,0.0161,3.6846,0.0074,1.3785,0.0026
200,373,1,849.094,0.089,0.0516,0.0087,6.8940,0.2110,2.6796,0.0494
200,573,1,733.275,0.18,0.1775,0.012,6.1715,0.0384,2.4319,0.0230
200,473,1,791.155,0.11,0.1124,0.0174,6.5125,0.0714,2.5492,0.0185
140,373,1,858.327,0.095,0.0656,0.0145,5.6924,0.0934,2.2106,0.0136
140,573,1,738.938,0.14,0.327,0.0267,5.2271,0.0807,2.0426,0.0164
140,473,1,798.224,0.16,0.1942,0.0449,5.4502,0.1466,2.1215,0.0371
160,373,1,855.141,0.1,0.0639,0.0056,6.1204,0.1773,2.3919,0.0415
160,573,1,736.521,0.07,0.2759,0.0207,5.6125,0.0875,2.2001,0.0230
160,473,1,795.317,0.07,0.1688,0.0075,5.8266,0.0896,2.2744,0.0272
128,373,1,860.698,0.13,0.0579,0.012,5.5516,0.1458,2.1213,0.0302
128,573,1,740.558,0.15,0.3577,0.006,4.9675,0.0572,1.9543,0.0109
128,473,1,800.556,0.047,0.2346,0.0285,5.1661,0.0629,2.0052,0.0230
148,373,1,856.858,0.12,0.0641,0.0008,5.8855,0.1161,2.2835,0.0341
148,573,1,737.379,0.11,0.2892,0.0362,5.3592,0.0273,2.1054,0.0127
148,473,1,797.169,0.086,0.2075,0.0241,5.5933,0.0928,2.1826,0.0287
28,373,1,932.937,0.22,0.2364,0.0005,2.7361,0.0679,0.9897,0.0110
28,573,1,784.348,0.058,1.6541,0.0683,2.6411,0.0083,0.9636,0.0045
28,473,1,860.122,0.045,0.8101,0.039,2.6953,0.0250,0.9776,0.0088
48,373,1,901.388,0.2,0.2,0.0417,3.4791,0.0204,1.2748,0.0083
48,573,1,766.125,0.26,1.0521,0.1468,3.2410,0.0075,1.2117,0.0017
48,473,1,833.96,0.25,0.5855,0.0773,3.3014,0.0511,1.2264,0.0174
68,373,1,884.481,0.16,0.1445,0.0037,4.0820,0.0514,1.5319,0.0087
68,573,1,755.692,0.26,0.7666,0.0417,3.7740,0.0220,1.4297,0.0050
68,473,1,820.33,0.17,0.3193,0.0055,3.8817,0.0160,1.4685,0.0105
88,373,1,873.738,0.19,0.0903,0.0026,4.6149,0.0390,1.7528,0.0105
88,573,1,748.748,0.29,0.6832,0.0001,4.1313,0.1618,1.6008,0.0332
88,473,1,811.299,0.11,0.2982,0.0198,4.3967,0.0341,1.6741,0.0097
100,373,1,868.946,0.038,0.1007,0.0011,4.9108,0.0434,1.8663,0.0078
100,573,1,745.53,0.083,0.537,0.0399,4.4624,0.0181,1.7267,0.0041
100,473,1,807.25,0.041,0.2677,0.0123,4.6153,0.0464,1.7776,0.0077
208,373,1,848.437,0.12,0.0472,0.0167,7.1397,0.1977,2.7676,0.0755
208,573,1,732.617,0.32,0.1699,0.0077,6.3056,0.1338,2.5026,0.0205
208,473,1,790.574,0.18,0.0898,0.0042,6.5569,0.1270,2.5867,0.0416
120,373,1,862.409,0.17,0.0813,0.0059,5.4272,0.1195,2.0576,0.0162
120,573,1,741.691,0.12,0.3781,0.0276,4.8124,0.0554,1.8852,0.0127
120,473,1,802.126,0.15,0.219,0.0149,5.0347,0.0623,1.9523,0.0152
80,373,1,877.522,0.024,0.1232,0.0051,4.4187,0.0347,1.6614,0.0055
80,573,1,751.161,0.083,0.7127,0.0295,4.0500,0.0203,1.5478,0.0043
80,473,1,814.458,0.066,0.3405,0.0038,4.1900,0.0258,1.5931,0.0102
