carbons,temperature,pressure,density,density_error,diff,diff_error,ee,ee_error,rg,rg_error
120,373,1,826.345,0.16,0.134,0.0144,5.2197,0.1521,2.0168,0.0290
120,573,1,710.085,0.12,0.4551,0.0161,4.6234,0.0400,1.8203,0.0050
120,473,1,768.607,0.19,0.248,0.0013,4.8288,0.0632,1.8951,0.0135
100,373,1,826.655,0.054,0.1642,0.0079,4.7593,0.0840,1.8226,0.0162
100,573,1,708.864,0.16,0.7327,0.0194,4.2438,0.0294,1.6484,0.0070
100,473,1,768.087,0.12,0.4034,0.0836,4.4636,0.0985,1.7313,0.0368
208,373,1,826.328,0.049,0.0692,0.0046,6.7548,0.2198,2.6773,0.0684
208,573,1,713.56,0.16,0.1595,0.0316,6.0754,0.0744,2.4321,0.0209
208,473,1,769.982,0.18,0.122,0.014,6.3185,0.0539,2.5258,0.0246
108,373,1,826.814,0.095,0.1898,0.004,4.9836,0.1171,1.9015,0.0124
108,573,1,709.154,0.18,0.6907,0.0772,4.4649,0.1488,1.7333,0.0305
108,473,1,768.129,0.12,0.3237,0.0105,4.5791,0.0699,1.7852,0.0150
28,373,1,827.877,0.27,0.8971,0.0057,2.4360,0.0048,0.8612,0.0021
28,573,1,686.164,0.34,3.5286,0.098,2.2350,0.0074,0.8077,0.0044
28,473,1,758.481,0.33,1.66,0.3643,2.3214,0.0085,0.8328,0.0051
48,373,1,827.206,0.18,0.5334,0.0007,3.2172,0.0482,1.1874,0.0026
48,573,1,699.286,0.23,1.834,0.2276,2.9369,0.0075,1.1010,0.0039
48,473,1,763.839,0.061,1.1041,0.14,3.0632,0.0350,1.1391,0.0128
80,373,1,826.972,0.14,0.2254,0.039,4.1968,0.0312,1.5948,0.0057
80,573,1,706.522,0.17,1.1126,0.1095,3.7841,0.0164,1.4583,0.0060
80,473,1,767.123,0.1,0.6374,0.0713,3.9397,0.0220,1.5063,0.0137
68,373,1,827.432,0.16,0.3656,0.0816,3.8917,0.0448,1.4629,0.0178
68,573,1,704.615,0.14,1.4855,0.2283,3.4865,0.0134,1.3326,0.0016
68,473,1,766.368,0.14,0.699,0.0941,3.6129,0.0543,1.3814,0.0039
160,373,1,826.481,0.11,0.0962,0.0129,6.0349,0.0860,2.3634,0.0132
160,573,1,712.063,0.21,0.3412,0.0144,5.3169,0.0821,2.1126,0.0265
160,473,1,768.936,0.13,0.1845,0.0123,5.5380,0.0673,2.1910,0.0216
88,373,1,826.796,0.092,0.237,0.0051,4.4280,0.0767,1.6854,0.0095
88,573,1,707.56,0.18,0.8869,0.0648,3.9486,0.0487,1.5287,0.0197
88,473,1,767.473,0.089,0.482,0.0752,4.1574,0.0420,1.5973,0.0059
40,373,1,827.632,0.16,0.5683,0.0467,2.9503,0.0458,1.0662,0.0073
40,573,1,694.828,0.16,2.4753,0.0915,2.6754,0.0092,0.9914,0.0026
40,473,1,762.439,0.17,1.5886,0.1194,2.7659,0.0135,1.0158,0.0073
140,373,1,826.563,0.23,0.1217,0.0001,5.6056,0.1705,2.1771,0.0273
140,573,1,711.402,0.3,0.4733,0.0191,5.0525,0.1105,1.9827,0.0138
140,473,1,768.831,0.23,0.2204,0.0458,5.2133,0.0483,2.0466,0.0099
148,373,1,826.55,0.06,0.1375,0.0133,5.8388,0.1892,2.2677,0.0387
148,573,1,711.781,0.16,0.3279,0.0393,5.1291,0.0616,2.0280,0.0264
148,473,1,769.222,0.12,0.2207,0.0068,5.4402,0.0632,2.1311,0.0190
128,373,1,827.019,0.16,0.1157,0.0065,5.2893,0.0965,2.0663,0.0204
128,573,1,710.433,0.09,0.4803,0.005,4.8171,0.0290,1.8898,0.0068
128,473,1,768.993,0.092,0.2546,0.0053,5.0186,0.0625,1.9625,0.0097
180,373,1,826.452,0.088,0.0842,0.0098,6.4321,0.1844,2.5162,0.0399
180,573,1,712.912,0.11,0.3011,0.001,5.6510,0.0250,2.2503,0.0147
180,473,1,769.592,0.12,0.1499,0.0127,5.9453,0.0372,2.3519,0.0089
188,373,1,826.352,0.19,0.0965,0.0111,6.5264,0.1657,2.5787,0.0547
188,573,1,712.978,0.18,0.2876,0.0596,5.8787,0.0676,2.3271,0.0125
188,473,1,769.794,0.092,0.169,0.0125,6.1056,0.0703,2.4210,0.0145
200,373,1,826.363,0.046,0.072,0.0065,6.5797,0.2184,2.6367,0.0713
200,573,1,713.117,0.18,0.2303,0.0008,6.0138,0.0655,2.4061,0.0163
200,473,1,769.902,0.16,0.1149,0.0149,6.2458,0.0653,2.4966,0.0153
168,373,1,826.487,0.088,0.1105,0.0076,6.1158,0.1097,2.4005,0.0263
168,573,1,712.467,0.28,0.3172,0.0256,5.5311,0.0733,2.1859,0.0158
168,473,1,769.474,0.049,0.2,0.0119,5.6676,0.0221,2.2440,0.0063
60,373,1,827.353,0.19,0.3164,0.0359,3.6646,0.1092,1.3569,0.0162
60,573,1,702.655,0.23,1.4101,0.0504,3.2787,0.0062,1.2436,0.0033
60,473,1,765.512,0.18,0.6979,0.0747,3.3829,0.0533,1.2857,0.0039
