carbons,temperature,pressure,density,density_error,diff,diff_error,ee,ee_error,rg,rg_error
160,373,1,832.139,0.089,0.0811,0.0028,5.9862,0.0800,2.3305,0.0124
160,573,1,719.609,0.11,0.2845,0.0057,5.3494,0.0545,2.1046,0.0181
160,473,1,775.619,0.065,0.1875,0.0048,5.5472,0.0502,2.1803,0.0159
100,373,1,835.403,0.11,0.1308,0.0116,4.7412,0.0960,1.7850,0.0087
100,573,1,720.26,0.21,0.5769,0.0232,4.2016,0.0776,1.6313,0.0145
100,473,1,778.077,0.22,0.3122,0.0198,4.4007,0.0330,1.6892,0.0054
60,373,1,841.379,0.16,0.2793,0.0183,3.4910,0.0715,1.3049,0.0126
60,573,1,722.222,0.19,1.1965,0.0164,3.2589,0.0112,1.2283,0.0037
60,473,1,782.072,0.12,0.649,0.0196,3.3774,0.0119,1.2589,0.0126
148,373,1,832.645,0.13,0.1017,0.0027,5.6968,0.0944,2.2185,0.0240
148,573,1,719.38,0.099,0.3861,0.0135,5.2327,0.1266,2.0384,0.0232
148,473,1,776.104,0.077,0.201,0.0044,5.3174,0.0286,2.0794,0.0147
128,373,1,833.425,0.16,0.1239,0.02,5.2552,0.1392,2.0414,0.0187
128,573,1,719.607,0.2,0.5419,0.0172,4.8108,0.0276,1.8778,0.0105
128,473,1,776.574,0.12,0.2592,0.0011,4.9435,0.0901,1.9329,0.0169
140,373,1,832.866,0.16,0.0977,0.0031,5.5625,0.0673,2.1440,0.0240
140,573,1,719.332,0.15,0.4453,0.0603,5.0256,0.0332,1.9611,0.0138
140,473,1,776.419,0.14,0.1879,0.0384,5.1352,0.0793,2.0196,0.0126
120,373,1,834.234,0.12,0.1083,0.0098,5.1280,0.1029,1.9756,0.0171
120,573,1,719.753,0.18,0.6166,0.0589,4.6947,0.1330,1.8092,0.0067
120,473,1,777.22,0.15,0.2867,0.0375,4.8399,0.0481,1.8797,0.0252
80,373,1,837.874,0.16,0.1993,0.0079,4.1663,0.0704,1.5635,0.0139
80,573,1,720.939,0.33,0.9206,0.0993,3.7304,0.0744,1.4366,0.0103
80,473,1,779.633,0.23,0.4586,0.0021,3.9055,0.0295,1.4863,0.0096
40,373,1,847.923,0.15,0.4389,0.0231,2.8359,0.0126,1.0289,0.0057
40,573,1,723.504,0.16,2.0884,0.1161,2.6596,0.0175,0.9825,0.0072
40,473,1,786.339,0.096,1.0,0.121,2.7507,0.0317,1.0045,0.0048
200,373,1,830.921,0.097,0.0597,0.0187,6.8265,0.1259,2.6495,0.0334
200,573,1,719.142,0.083,0.2353,0.011,6.1236,0.2352,2.3923,0.0186
200,473,1,774.732,0.15,0.1075,0.0007,6.3078,0.0639,2.4774,0.0215
188,373,1,830.903,0.18,0.0709,0.0055,6.4169,0.0941,2.5112,0.0294
188,573,1,719.468,0.11,0.2562,0.0299,5.8268,0.0658,2.2991,0.0176
188,473,1,775.033,0.087,0.1518,0.01,6.1148,0.1335,2.4041,0.0364
208,373,1,830.544,0.088,0.0619,0.0063,6.7500,0.1497,2.6696,0.0582
208,573,1,718.877,0.12,0.2046,0.0308,6.1481,0.0860,2.4380,0.0252
208,473,1,774.695,0.13,0.1218,0.0129,6.2918,0.0685,2.5044,0.0113
28,373,1,855.113,0.19,0.6162,0.009,2.3710,0.0423,0.8411,0.0039
28,573,1,725.449,0.36,2.4302,0.0045,2.2066,0.0292,0.8030,0.0061
28,473,1,791.132,0.07,1.3598,0.0176,2.2884,0.0289,0.8233,0.0072
48,373,1,844.988,0.18,0.3697,0.0144,3.1582,0.0408,1.1556,0.0095
48,573,1,723.066,0.19,1.5445,0.1067,2.9131,0.0042,1.0853,0.0014
48,473,1,784.37,0.12,0.9281,0.1047,3.0144,0.0389,1.1142,0.0093
168,373,1,832.016,0.032,0.075,0.0209,6.1077,0.2545,2.3921,0.0508
168,573,1,719.574,0.17,0.3477,0.0276,5.4717,0.0849,2.1621,0.0212
168,473,1,775.881,0.051,0.1572,0.0028,5.7076,0.0715,2.2433,0.0172
68,373,1,839.618,0.083,0.2903,0.034,3.7666,0.0574,1.4101,0.0147
68,573,1,721.483,0.24,1.2376,0.091,3.4343,0.0947,1.3154,0.0099
68,473,1,780.705,0.14,0.5429,0.1131,3.6437,0.1151,1.3617,0.0157
108,373,1,834.969,0.046,0.1502,0.0049,4.8884,0.0887,1.8634,0.0189
108,573,1,720.273,0.075,0.561,0.049,4.3950,0.0174,1.6973,0.0166
108,473,1,777.619,0.31,0.3418,0.0039,4.5373,0.0877,1.7552,0.0226
180,373,1,831.301,0.1,0.0851,0.0072,6.3507,0.1185,2.4723,0.0243
180,573,1,719.287,0.1,0.2822,0.0057,5.6658,0.0621,2.2410,0.0184
180,473,1,775.055,0.14,0.1714,0.029,5.8868,0.1021,2.3248,0.0285
88,373,1,836.738,0.06,0.1808,0.01,4.3644,0.0556,1.6498,0.0148
88,573,1,720.737,0.25,0.8729,0.0231,3.9755,0.0717,1.5278,0.0189
88,473,1,778.916,0.15,0.4186,0.0523,4.1924,0.1352,1.5786,0.0117
