carbons,temperature,pressure,density,density_error,diff,diff_error,ee,ee_error,rg,rg_error
108,373,1,807.276,0.11,0.2055,0.0348,4.8568,0.0569,1.8779,0.0114
108,573,1,693.421,0.24,0.6295,0.0176,4.3285,0.0569,1.6964,0.0193
108,473,1,750.646,0.18,0.4276,0.0106,4.5018,0.0782,1.7670,0.0102
128,373,1,810.247,0.14,0.1462,0.0126,5.3170,0.1003,2.0674,0.0128
128,573,1,697.372,0.23,0.616,0.0074,4.7414,0.0618,1.8776,0.0106
128,473,1,753.561,0.13,0.3093,0.0238,4.9123,0.0661,1.9426,0.0098
148,373,1,812.216,0.15,0.1175,0.0046,5.8046,0.0904,2.2565,0.0159
148,573,1,699.798,0.11,0.4997,0.0243,5.1386,0.0448,2.0300,0.0103
148,473,1,756.012,0.11,0.2627,0.036,5.3266,0.0687,2.1061,0.0208
168,373,1,813.694,0.059,0.106,0.0074,6.0160,0.0765,2.3812,0.0152
168,573,1,701.847,0.18,0.3542,0.0333,5.4207,0.0887,2.1515,0.0357
168,473,1,758.035,0.12,0.216,0.0592,5.6746,0.0519,2.2583,0.0207
68,373,1,797.055,0.17,0.4294,0.0729,3.7777,0.0266,1.4281,0.0087
68,573,1,679.442,0.072,1.3086,0.0438,3.4158,0.0176,1.3131,0.0044
68,473,1,738.924,0.086,0.6185,0.0666,3.5692,0.0087,1.3610,0.0018
28,373,1,762.008,0.15,1.255,0.1018,2.3067,0.0342,0.8236,0.0047
28,573,1,629.815,0.3,4.9322,0.3711,2.1371,0.0186,0.7769,0.0020
28,473,1,697.557,0.25,2.3564,0.1644,2.2051,0.0051,0.7963,0.0006
40,373,1,779.014,0.12,1.0826,0.0599,2.8252,0.0272,1.0321,0.0051
40,573,1,654.443,0.31,2.8873,0.0077,2.5721,0.0161,0.9625,0.0013
40,473,1,717.987,0.17,1.6488,0.1985,2.6702,0.0371,0.9904,0.0036
208,373,1,816.197,0.12,0.0793,0.0055,6.8277,0.0901,2.7210,0.0362
208,573,1,704.774,0.23,0.238,0.0251,6.0146,0.1583,2.4240,0.0165
208,473,1,760.465,0.096,0.1367,0.0004,6.4235,0.1264,2.5515,0.0412
180,373,1,814.592,0.1,0.1051,0.0004,6.3240,0.1525,2.5090,0.0152
180,573,1,702.682,0.23,0.3217,0.0418,5.6353,0.0785,2.2520,0.0168
180,473,1,758.8,0.16,0.1466,0.0297,5.9308,0.0941,2.3565,0.0255
140,373,1,811.317,0.058,0.129,0.0253,5.5390,0.1189,2.1714,0.0330
140,573,1,698.61,0.16,0.4449,0.061,4.9691,0.0247,1.9696,0.0085
140,473,1,755.449,0.24,0.271,0.0134,5.2143,0.0421,2.0462,0.0072
88,373,1,803.702,0.12,0.2816,0.0015,4.3435,0.0498,1.6653,0.0109
88,573,1,687.915,0.18,0.881,0.0152,3.8500,0.1463,1.5125,0.0222
88,473,1,745.812,0.13,0.6091,0.0316,4.0589,0.0384,1.5746,0.0049
100,373,1,806.132,0.094,0.2472,0.0129,4.7376,0.1555,1.8175,0.0367
100,573,1,691.335,0.043,0.9047,0.0455,4.1773,0.0234,1.6327,0.0049
100,473,1,748.726,0.18,0.4351,0.0355,4.3531,0.0115,1.6978,0.0036
60,373,1,793.751,0.085,0.5357,0.0522,3.5433,0.0338,1.3300,0.0097
60,573,1,674.557,0.24,1.6537,0.0383,3.1879,0.0252,1.2179,0.0083
60,473,1,734.521,0.21,1.0464,0.0712,3.3293,0.0144,1.2623,0.0037
188,373,1,815.263,0.12,0.1023,0.0058,6.3504,0.1968,2.5246,0.0475
188,573,1,703.718,0.1,0.2834,0.0291,5.7216,0.1285,2.2961,0.0260
188,473,1,758.886,0.13,0.1564,0.004,6.0466,0.0762,2.4138,0.0301
80,373,1,801.44,0.12,0.2783,0.0426,4.1611,0.0860,1.5820,0.0131
80,573,1,684.681,0.18,1.156,0.1274,3.7122,0.0269,1.4401,0.0040
80,473,1,743.564,0.088,0.6363,0.0347,3.8989,0.0424,1.4948,0.0038
48,373,1,786.205,0.1,0.6778,0.0381,3.1431,0.0058,1.1591,0.0023
48,573,1,664.501,0.29,2.1927,0.0883,2.8570,0.0245,1.0733,0.0016
48,473,1,726.014,0.16,1.135,0.2827,2.9454,0.0357,1.1028,0.0093
160,373,1,813.338,0.12,0.0977,0.0019,5.8716,0.1009,2.3249,0.0277
160,573,1,701.022,0.14,0.3502,0.0064,5.2427,0.1375,2.0921,0.0380
160,473,1,757.328,0.17,0.1654,0.0161,5.5882,0.1441,2.2042,0.0303
200,373,1,815.744,0.086,0.0849,0.0053,6.5913,0.0951,2.6231,0.0382
200,573,1,704.491,0.22,0.2346,0.0057,6.0238,0.0387,2.3946,0.0111
200,473,1,760.152,0.12,0.1364,0.0178,6.2131,0.0563,2.4859,0.0132
120,373,1,809.659,0.18,0.1913,0.0172,5.1983,0.0389,2.0138,0.0167
120,573,1,695.939,0.11,0.675,0.0596,4.6105,0.0772,1.8075,0.0084
120,473,1,752.573,0.12,0.3942,0.0223,4.7831,0.0454,1.8661,0.0240
