carbons,temperature,pressure,density,density_error,diff,diff_error,ee,ee_error,rg,rg_error
200,463,1,775.963,0.17,0.1035,0.0108,6.3460,0.0927,2.5135,0.0368
200,423,1,798.493,0.14,0.0848,0.0079,6.4823,0.1797,2.5595,0.0536
200,373,1,827.618,0.045,0.0459,0.0141,6.7314,0.1280,2.6632,0.0563
200,413,1,804.398,0.12,0.0865,0.0134,6.4450,0.1655,2.5581,0.0415
200,573,1,713.771,0.21,0.2409,0.0136,5.9469,0.1490,2.3761,0.0373
200,393,1,815.864,0.064,0.0614,0.0047,6.7968,0.2838,2.6454,0.0498
200,473,1,770.352,0.16,0.1016,0.0038,6.2449,0.1591,2.4812,0.0388
200,433,1,793.24,0.097,0.0739,0.0124,6.3779,0.1020,2.5264,0.0277
200,383,1,821.644,0.16,0.0553,0.0112,6.7575,0.1815,2.6608,0.0623
200,453,1,781.695,0.027,0.0958,0.0026,6.3759,0.1317,2.5114,0.0301
200,443,1,787.21,0.1,0.1016,0.002,6.3627,0.1095,2.5281,0.0362
200,403,1,810.242,0.042,0.07,0.0,6.4809,0.0880,2.5815,0.0294
120,463,1,775.869,0.07,0.2393,0.0152,4.8961,0.0961,1.8998,0.0209
120,423,1,799.363,0.18,0.1424,0.0128,4.9700,0.0359,1.9281,0.0087
120,373,1,828.617,0.17,0.0939,0.0211,5.1710,0.0506,1.9995,0.0145
120,413,1,805.024,0.12,0.151,0.0153,4.9690,0.0273,1.9299,0.0101
120,573,1,710.644,0.14,0.5388,0.0457,4.6052,0.0488,1.8018,0.0148
120,393,1,816.935,0.094,0.1387,0.0082,5.0243,0.0628,1.9563,0.0162
120,473,1,769.793,0.24,0.2405,0.0281,4.8150,0.0276,1.8737,0.0128
120,433,1,793.518,0.15,0.1922,0.014,4.9417,0.0804,1.9223,0.0196
120,383,1,822.944,0.1,0.1005,0.0029,5.1564,0.0514,1.9878,0.0122
120,453,1,781.715,0.15,0.2429,0.0056,4.9038,0.0347,1.9094,0.0190
120,443,1,787.476,0.18,0.1504,0.0145,4.8834,0.0423,1.9021,0.0105
120,403,1,810.986,0.22,0.1258,0.0067,5.0384,0.0645,1.9531,0.0168
128,373,1,828.38,0.089,0.0775,0.0106,5.3235,0.0920,2.0728,0.0264
128,573,1,710.953,0.081,0.5019,0.0447,4.7629,0.0792,1.8717,0.0191
128,473,1,769.635,0.11,0.2152,0.002,5.0031,0.0421,1.9467,0.0198
